University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"University of Toronto",52.9,51.4,50.9,4.5,4.9,4.4,18574.0,17649.0,17267.0,83030.0,176543.0,269032.0,2.0,2.02,2.17,19.9,22.1,22.3,37.7,40.9,40.7,4.5,10.0,15.6,19639.0,18833.0,18076.0,4.22781200672132,9.374130515584346,14.883381279044036,0.9457711696114873,0.93713163064833,0.9552445231245851,254.0,1
"Northwestern University",34.9,33.2,32.2,4.8,4.8,4.8,8497.0,8332.0,7912.0,47915.0,101395.0,141394.0,2.24,2.29,2.33,24.2,26.7,26.3,46.4,49.0,49.4,5.6,12.2,17.9,8022.0,7698.0,7451.0,5.972949389179756,13.17160301376981,18.976513219702053,1.0592121665420096,1.082359054299818,1.061870889813448,193.0,1
"Hong Kong University of Science and Technology",75.4,73.2,72.2,4.0,3.5,3.7,2905.0,2724.0,2659.0,16663.0,30806.0,46432.0,1.96,2.12,2.16,27.4,28.7,28.9,54.5,54.0,55.1,5.7,11.3,17.5,2502.0,2262.0,2280.0,6.659872102318145,13.61892130857648,20.364912280701756,1.1610711430855316,1.2042440318302388,1.1662280701754386,117.0,1
"King's College London",56.7,52.9,53.4,5.4,4.8,5.1,8349.0,7977.0,7717.0,39984.0,88835.0,123858.0,2.07,2.32,2.22,21.9,23.9,24.1,42.9,44.6,45.2,4.8,11.1,16.1,7057.0,7126.0,6539.0,5.665863681451041,12.466320516418747,18.941428352959168,1.1830806291625338,1.1194218355318553,1.180149870010705,174.0,1
"Kyoto University",35.4,33.7,33.2,5.5,6.1,5.6,7943.0,7784.0,7701.0,28952.0,62667.0,90411.0,1.27,1.48,1.47,16.2,16.8,17.1,35.5,38.7,38.1,3.6,8.1,11.7,8048.0,8017.0,7652.0,3.5974155069582503,7.816764375701634,11.815342394145322,0.9869532803180915,0.9709367593863041,1.0064035546262415,142.0,1
"McGill University",55.8,55.1,54.4,3.8,3.7,3.5,8803.0,8677.0,8304.0,36557.0,79706.0,122395.0,1.77,1.89,1.98,19.3,22.4,23.1,38.9,42.8,44.3,4.2,9.2,14.7,8812.0,8722.0,8185.0,4.1485474353154785,9.138500343957809,14.953573610262676,0.9989786654561961,0.9948406328823665,1.0145387904703727,169.0,1
"University of California at Los Angeles",41.4,40.7,40.0,6.5,6.8,6.7,12573.0,12125.0,11687.0,64379.0,126481.0,190648.0,2.13,2.16,2.23,21.7,25.2,24.5,43.7,46.5,46.8,5.1,10.4,16.3,12223.0,11959.0,11535.0,5.267037552155772,10.576218747386905,16.527785002167317,1.028634541438272,1.0138807592608077,1.0131772865192892,217.0,1
"Seoul National University",29.5,28.1,28.0,5.8,6.0,6.0,10337.0,9989.0,9597.0,35156.0,84371.0,117577.0,1.33,1.63,1.58,14.8,16.4,15.9,36.1,38.3,37.2,3.4,8.4,12.3,11723.0,11421.0,10990.0,2.9988910688390344,7.387356623763243,10.698544131028207,0.8817708777616651,0.8746169337185886,0.8732484076433121,169.0,1
"University of Melbourne",52.9,50.9,49.4,3.8,4.0,4.1,11740.0,10939.0,10438.0,51700.0,110337.0,157675.0,1.93,2.06,2.06,19.7,21.8,22.6,40.5,42.0,42.0,4.4,10.1,15.1,9839.0,9217.0,8796.0,5.254599044618356,11.971031789085385,17.925761709868123,1.1932106921435106,1.1868286861234676,1.1866757617098682,196.0,1
"New York University",37.1,35.4,34.8,5.5,4.6,5.1,8893.0,8582.0,8298.0,39101.0,78066.0,116941.0,2.07,1.98,2.21,17.8,20.5,22.2,39.9,40.0,40.5,4.4,9.1,14.1,8324.0,8051.0,7890.0,4.697381066794811,9.696435225437833,14.821419518377693,1.0683565593464681,1.0659545398087193,1.0517110266159695,177.0,1
